Pt(L1742) X         Y         NF(dB)         GAIN(dB)       NFcorr(dB)     Gins(dB)       gams           angle          
1         0         0         14.86265       -0.48109       17.208477      -8.6374207     0.0593         157.36258      
2         0         2347      14.92705       -0.49856       17.267601      -8.6539211     0.059          157.75787      
3         310       2347      14.84598       -0.42151       17.18516       -8.5775862     0.05916        157.59982      
4         620       2347      14.91446       -0.48335       17.25355       -8.6379881     0.0594         157.55611      
5         930       2347      14.82293       -0.38945       17.159632      -8.5451717     0.05953        157.72121      
6         1240      2347      14.89181       -0.46254       17.231375      -8.6181908     0.05955        157.65618      
7         1550      2347      14.92303       -0.48301       17.261744      -8.6382332     0.05959        157.56415      
8         1860      2347      14.85749       -0.45522       17.197987      -8.6091928     0.05965        157.29996      
9         2170      2347      14.923         -0.47042       17.261229      -8.6269627     0.05983        157.17737      
10        2480      2347      14.89638       -0.43797       17.231331      -8.592886      0.0598         156.97828      
11        2790      2347      14.93335       -0.51504       17.276693      -8.671504      0.05954        156.89364      
12        3100      2347      14.88012       -0.43471       17.215981      -8.5892754     0.0596         156.82374      
13        3410      2347      14.96909       -0.52348       17.308968      -8.6791363     0.05943        156.87096      
14        3720      2347      14.9219        -0.48005       17.260754      -8.6356993     0.05925        156.79585      
15        4030      2347      14.92651       -0.47731       17.263248      -8.6315823     0.05898        156.82852      
16        4340      2347      14.8591        -0.43848       17.198343      -8.5937395     0.05911        156.9361       
17        4650      2347      14.91796       -0.45278       17.253231      -8.6080236     0.05884        157.03611      
18        4960      2347      14.85434       -0.41646       17.190552      -8.5711441     0.0589         157.21472      
19        5270      2347      14.96386       -0.47229       17.296284      -8.6268587     0.0589         157.38098      
20        5580      2347      14.91267       -0.45296       17.249031      -8.6089659     0.05913        157.50651      
21        5890      2347      14.81698       -0.37193       17.150486      -8.5262756     0.0592         157.69072      
22        0         4695      14.93636       -0.50262       17.278725      -8.6598921     0.049          -166.00377     
23        310       4695      14.99536       -0.55119       17.334225      -8.7061033     0.06057        -168.63774     
24        620       4695      15.12155       -0.66501       17.462805      -8.8212214     0.07093        -173.14102     
25        930       4695      15.20601       -0.74664       17.548899      -8.9029684     0.07961        -179.0349      
26        1240      4695      15.16787       -0.72116       17.508413      -8.8753834     0.08641        174.66465      
27        1550      4695      15.13126       -0.65338       17.46784       -8.8094149     0.09111        167.83951      
28        1860      4695      15.1235        -0.65339       17.460329      -8.808383      0.09335        160.7371       
29        2170      4695      15.08056       -0.60025       17.415497      -8.7554159     0.09356        153.57842      
30        2480      4695      14.96577       -0.48699       17.299002      -8.6428909     0.09129        146.76542      
31        2790      4695      14.99129       -0.45921       17.319418      -8.6147661     0.08676        139.88956      
32        3100      4695      14.68489       -0.22799       17.016018      -8.3848248     0.08022        133.48886      
33        3410      4695      14.63695       -0.15443       16.963444      -8.3100758     0.07177        127.88675      
34        3720      4695      14.66846       -0.15421       16.993097      -8.3097639     0.06151        123.34884      
35        4030      4695      14.64195       -0.11353       16.96666       -8.2710857     0.05054        121.20073      
36        4340      4695      14.64185       -0.15062       16.971577      -8.3077469     0.03919        122.88398      
37        4650      4695      14.60893       -0.11251       16.936977      -8.2699928     0.02954        132.99373      
38        4960      4695      14.80372       -0.27608       17.133636      -8.4339056     0.02498        154.94232      
39        5270      4695      14.73065       -0.26854       17.064558      -8.4250803     0.02858        178.29566      
40        5580      4695      14.84576       -0.33539       17.175835      -8.4922934     0.03785        -169.89566     
41        5890      4695      15.01044       -0.51035       17.346527      -8.6678295     0.04904        -167.50124     
42        0         5133      15.08418       -0.64203       17.432533      -8.8006115     0.06644        -126.06164     
43        281       5133      15.22994       -0.80103       17.582081      -8.959734      0.0831         -138.96154     
44        562       5133      15.4633        -1.00316       17.817451      -9.1629944     0.09791        -150.34608     
45        843       5133      15.40433       -0.95904       17.755106      -9.1177549     0.11082        -161.11344     
46        1124      5133      15.5859        -1.11156       17.936602      -9.2696981     0.12114        -171.54514     
47        1405      5133      15.49064       -1.01706       17.836798      -9.1745615     0.1288         178.45371      
48        1686      5133      15.40703       -0.93461       17.751245      -9.0926275     0.13359        168.46702      
49        1967      5133      15.2879        -0.7958        17.624723      -8.9522905     0.13565        158.60982      
50        2248      5133      15.19962       -0.66056       17.528749      -8.8168335     0.13483        148.6777       
51        2529      5133      15.0126        -0.49305       17.341772      -8.650363      0.13122        138.78181      
52        2810      5133      14.83096       -0.30796       17.159142      -8.4676809     0.1248         128.91224      
