The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
1         0         0         0.04462        -25.8343       0.93249        -31.99346      
2         0         3000      0.04494        -25.87951      0.93248        -31.99357      
3         621       3000      0.04482        -25.96095      0.93248        -31.99343      
4         1242      3000      0.04466        -26.16678      0.93248        -31.99314      
5         1863      3000      0.0447         -26.10555      0.93248        -31.99322      
6         2484      3000      0.04443        -25.89805      0.93249        -31.9933       
7         3105      3000      0.04439        -25.71492      0.93249        -31.99346      
8         3726      3000      0.04449        -25.48181      0.93249        -31.99375      
9         4347      3000      0.04465        -25.35608      0.93249        -31.99396      
10        4968      3000      0.04481        -25.62029      0.93248        -31.99377      
11        5589      3000      0.04499        -25.85181      0.93248        -31.99362      
12        6210      3000      0.04494        -25.83579      0.93248        -31.99362      
13        6831      3000      0.04481        -25.95204      0.93248        -31.99343      
14        7452      3000      0.04468        -26.08293      0.93248        -31.99323      
15        8073      3000      0.04441        -25.87266      0.93249        -31.99332      
16        8694      3000      0.04444        -25.86926      0.93249        -31.99333      
17        9315      3000      0.04456        -25.64382      0.93249        -31.99362      
18        9936      3000      0.04468        -25.53567      0.93249        -31.99379      
19        10557     3000      0.04478        -25.49712      0.93249        -31.99388      
20        11178     3000      0.04492        -25.59747      0.93248        -31.99385      
21        11799     3000      0.04491        -25.96505      0.93248        -31.99347      
22        0         6001      0.08354        -28.5473       0.93161        -32.00615      
23        621       6001      0.07815        -46.28021      0.93168        -31.97049      
24        1242      6001      0.0644         -63.69253      0.93207        -31.94569      
25        1863      6001      0.04361        -79.88396      0.9326         -31.94001      
26        2484      6001      0.01833        -88.45733      0.93309        -31.95481      
27        3105      6001      0.01134        30.69032       0.93336        -31.98505      
28        3726      6001      0.03717        30.92978       0.93328        -32.02053      
29        4347      6001      0.05965        15.71898       0.93283        -32.04609      
30        4968      6001      0.0758         -1.60341       0.93221        -32.04804      
31        5589      6001      0.08378        -19.5093       0.93171        -32.02435      
32        6210      6001      0.08278        -37.55358      0.93158        -31.98762      
33        6831      6001      0.07289        -55.47216      0.93183        -31.95517      
34        7452      6001      0.05509        -72.59026      0.93233        -31.93944      
35        8073      6001      0.03111        -86.98051      0.93288        -31.94482      
36        8694      6001      0.00569        -59.25367      0.93328        -31.9688       
37        9315      6001      0.0251         37.11455       0.93338        -32.00409      
38        9936      6001      0.05001        23.96726       0.93309        -32.03694      
39        10557     6001      0.06942        6.92388        0.93251        -32.0512       
40        11178     6001      0.08148        -10.91669      0.9319         -32.03869      
41        11799     6001      0.08485        -29.01869      0.93158        -32.00564      
42        0         6426      0.12355        -29.84841      0.93067        -32.01496      
43        562       6426      0.11764        -52.25476      0.93084        -31.94852      
44        1124      6426      0.10264        -75.65427      0.93153        -31.90298      
45        1686      6426      0.08004        -101.91396     0.93244        -31.88715      
46        2248      6426      0.05383        -136.6727      0.93334        -31.90163      
47        2810      6426      0.03634        163.29421      0.93403        -31.94295      
48        3372      6426      0.04769        95.48421       0.93429        -32.00397      
49        3934      6426      0.07337        56.10975       0.93393        -32.0681       
50        4496      6426      0.09797        28.15001       0.93294        -32.1098       
51        5058      6426      0.11576        4.18315        0.9317         -32.10382      
52        5620      6426      0.12453        -18.66104      0.93081        -32.05068      
53        6182      6426      0.12347        -41.14141      0.93064        -31.97961      
54        6744      6426      0.11266        -64.07008      0.93112        -31.92079      
55        7306      6426      0.09325        -88.74839      0.93197        -31.88946      
56        7868      6426      0.0676         -118.46553     0.93292        -31.88959      
57        8430      6426      0.04323        -164.05264     0.93376        -31.91907      
58        8992      6426      0.03978        124.46085      0.93426        -31.9729       
59        9554      6426      0.06178        72.87615       0.93421        -32.03942      
60        10116     6426      0.08801        40.91893       0.93349        -32.09646      
61        10678     6426      0.1094         15.30138       0.93227        -32.11486      
