The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
1         0         0         0.0593         157.36258      0.87992        -28.09396      
2         0         2347      0.059          157.75787      0.87991        -28.09368      
3         310       2347      0.05916        157.59982      0.87992        -28.09376      
4         620       2347      0.0594         157.55611      0.87992        -28.09366      
5         930       2347      0.05953        157.72121      0.87992        -28.09338      
6         1240      2347      0.05955        157.65618      0.87993        -28.09345      
7         1550      2347      0.05959        157.56415      0.87993        -28.09353      
8         1860      2347      0.05965        157.29996      0.87993        -28.09381      
9         2170      2347      0.05983        157.17737      0.87994        -28.09385      
10        2480      2347      0.0598         156.97828      0.87994        -28.0941       
11        2790      2347      0.05954        156.89364      0.87993        -28.09437      
12        3100      2347      0.0596         156.82374      0.87993        -28.09442      
13        3410      2347      0.05943        156.87096      0.87993        -28.09447      
14        3720      2347      0.05925        156.79585      0.87993        -28.09467      
15        4030      2347      0.05898        156.82852      0.87992        -28.0948       
16        4340      2347      0.05911        156.9361       0.87992        -28.09459      
17        4650      2347      0.05884        157.03611      0.87992        -28.09464      
18        4960      2347      0.0589         157.21472      0.87992        -28.09439      
19        5270      2347      0.0589         157.38098      0.87992        -28.09419      
20        5580      2347      0.05913        157.50651      0.87992        -28.09389      
21        5890      2347      0.0592         157.69072      0.87992        -28.09363      
22        0         4695      0.049          -166.00377     0.8793         -28.07184      
23        310       4695      0.06057        -168.63774     0.87945        -28.06041      
24        620       4695      0.07093        -173.14102     0.87964        -28.05273      
25        930       4695      0.07961        -179.0349      0.87986        -28.04965      
26        1240      4695      0.08641        174.66465      0.88008        -28.05073      
27        1550      4695      0.09111        167.83951      0.88028        -28.05624      
28        1860      4695      0.09335        160.7371       0.88045        -28.06589      
29        2170      4695      0.09356        153.57842      0.88057        -28.07842      
30        2480      4695      0.09129        146.76542      0.88063        -28.09254      
31        2790      4695      0.08676        139.88956      0.88061        -28.1078       
32        3100      4695      0.08022        133.48886      0.88051        -28.12189      
33        3410      4695      0.07177        127.88675      0.88035        -28.13309      
34        3720      4695      0.06151        123.34884      0.88013        -28.14026      
35        4030      4695      0.05054        121.20073      0.87989        -28.14181      
36        4340      4695      0.03919        122.88398      0.87965        -28.13813      
37        4650      4695      0.02954        132.99373      0.87945        -28.12921      
38        4960      4695      0.02498        154.94232      0.8793         -28.11661      
39        5270      4695      0.02858        178.29566      0.87923        -28.10176      
40        5580      4695      0.03785        -169.89566     0.87924        -28.08642      
41        5890      4695      0.04904        -167.50124     0.87932        -28.07259      
42        0         5133      0.06644        -126.06164     0.87859        -28.04241      
43        281       5133      0.0831         -138.96154     0.8789         -28.02114      
44        562       5133      0.09791        -150.34608     0.87927        -28.00688      
45        843       5133      0.11082        -161.11344     0.87968        -27.99958      
46        1124      5133      0.12114        -171.54514     0.88009        -27.99974      
47        1405      5133      0.1288         178.45371      0.88049        -28.00667      
48        1686      5133      0.13359        168.46702      0.88085        -28.02045      
49        1967      5133      0.13565        158.60982      0.88115        -28.04004      
50        2248      5133      0.13483        148.6777       0.88137        -28.06504      
51        2529      5133      0.13122        138.78181      0.88148        -28.09373      
52        2810      5133      0.1248         128.91224      0.88146        -28.12406      
53        3091      5133      0.11551        118.84532      0.88129        -28.15381      
