The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_l        angle          gamma_out      angle          
1         0         0         0.05574        59.08453       0.93105        -33.43511      
2         0         3000      0.05569        59.27046       0.93105        -33.43494      
3         621       3000      0.05592        59.31619       0.93105        -33.43525      
4         1242      3000      0.05596        59.11186       0.93105        -33.43539      
5         1863      3000      0.0561         58.98875       0.93105        -33.43566      
6         2484      3000      0.05591        58.79251       0.93104        -33.43548      
7         3105      3000      0.05564        58.82999       0.93104        -33.43509      
8         3726      3000      0.05559        58.86674       0.93104        -33.43499      
9         4347      3000      0.05539        59.08342       0.93105        -33.43462      
10        4968      3000      0.0555         59.27564       0.93105        -33.43469      
11        5589      3000      0.05573        59.42799       0.93106        -33.43493      
12        6210      3000      0.05584        59.36603       0.93105        -33.43511      
13        6831      3000      0.056          59.19888       0.93105        -33.43541      
14        7452      3000      0.05605        58.9272        0.93105        -33.43561      
15        8073      3000      0.05583        58.93288       0.93105        -33.43529      
16        8694      3000      0.05568        58.73546       0.93104        -33.43518      
17        9315      3000      0.0556         59.01448       0.93105        -33.43494      
18        9936      3000      0.05552        59.07526       0.93105        -33.43481      
19        10557     3000      0.05563        59.22038       0.93105        -33.43489      
20        11178     3000      0.05574        59.41958       0.93106        -33.43495      
21        11799     3000      0.05582        59.32382       0.93105        -33.43511      
22        0         6001      0.06678        96.22173       0.93191        -33.41151      
23        621       6001      0.08599        81.36948       0.93198        -33.4509       
24        1242      6001      0.09559        64.85236       0.9316         -33.48588      
25        1863      6001      0.09407        47.92973       0.93091        -33.49699      
26        2484      6001      0.08154        31.63027       0.93029        -33.47629      
27        3105      6001      0.05996        17.3253        0.93005        -33.43634      
28        3726      6001      0.03233        11.53177       0.93028        -33.39795      
29        4347      6001      0.0149         71.72768       0.93083        -33.3778       
30        4968      6001      0.03897        106.87748      0.93145        -33.38203      
31        5589      6001      0.06588        97.52696       0.93191        -33.40903      
32        6210      6001      0.08596        82.43668       0.93201        -33.44917      
33        6831      6001      0.09616        65.72891       0.93164        -33.4856       
34        7452      6001      0.09488        48.67868       0.93095        -33.49797      
35        8073      6001      0.08262        32.03078       0.93029        -33.47811      
36        8694      6001      0.0607         17.36659       0.93004        -33.43737      
37        9315      6001      0.03298        10.58712       0.93026        -33.3983       
38        9936      6001      0.01432        69.88642       0.93081        -33.37741      
39        10557     6001      0.03838        107.45777      0.93144        -33.38122      
40        11178     6001      0.06569        98.23643       0.93192        -33.40791      
41        11799     6001      0.08612        83.03486       0.93203        -33.44837      
