The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
1         0         0         0.00716        177.46705      0.87359        -29.49334      
2         0         2347      0.00737        173.15436      0.8736         -29.49377      
3         310       2347      0.00725        173.01867      0.8736         -29.49389      
4         620       2347      0.00724        172.95288      0.8736         -29.49391      
5         930       2347      0.00694        174.77329      0.87359        -29.49391      
6         1240      2347      0.0068         175.54881      0.87359        -29.49393      
7         1550      2347      0.00675        176.79326      0.87358        -29.49381      
8         1860      2347      0.00684        178.7266       0.87358        -29.49348      
9         2170      2347      0.00688        179.54619      0.87358        -29.49334      
10        2480      2347      0.00699        -179.04448     0.87358        -29.49305      
11        2790      2347      0.00722        -179.3689      0.87358        -29.49287      
12        3100      2347      0.00738        -178.97575     0.87359        -29.49266      
13        3410      2347      0.00742        -179.5868      0.87359        -29.4927       
14        3720      2347      0.00763        179.52542      0.87359        -29.49262      
15        4030      2347      0.00775        179.77772      0.87359        -29.49247      
16        4340      2347      0.00784        177.42838      0.8736         -29.49272      
17        4650      2347      0.00784        175.73758      0.8736         -29.49298      
18        4960      2347      0.0078         174.93071      0.8736         -29.49313      
19        5270      2347      0.00751        174.0308       0.8736         -29.49351      
20        5580      2347      0.00748        174.32197      0.8736         -29.4935       
21        5890      2347      0.00742        173.98652      0.8736         -29.49361      
22        0         4695      0.03911        112.14341      0.87427        -29.52215      
23        310       4695      0.03651        93.38135       0.87407        -29.53583      
24        620       4695      0.03408        73.33763       0.87382        -29.54466      
25        930       4695      0.03151        51.38503       0.87353        -29.54652      
26        1240      4695      0.02969        27.54811       0.87324        -29.54137      
27        1550      4695      0.02871        3.26363        0.87302        -29.53007      
28        1860      4695      0.02861        -21.54092      0.87287        -29.5143       
29        2170      4695      0.03013        -46.15835      0.87281        -29.49622      
30        2480      4695      0.03193        -68.70313      0.87285        -29.47884      
31        2790      4695      0.03431        -89.77006      0.87298        -29.46363      
32        3100      4695      0.03693        -109.00203     0.87317        -29.45221      
33        3410      4695      0.03928        -127.2653      0.8734         -29.44551      
34        3720      4695      0.0411         -144.91267     0.87365        -29.44429      
35        4030      4695      0.04246        -161.64395     0.8739         -29.44818      
36        4340      4695      0.04314        -178.06127     0.87411        -29.45692      
37        4650      4695      0.04277        165.32347      0.87426        -29.47026      
38        4960      4695      0.04208        148.95338      0.87435        -29.48589      
39        5270      4695      0.04056        131.93131      0.87435        -29.5032       
40        5580      4695      0.03836        114.15258      0.87426        -29.51991      
