The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92708        -36.26         0.0488         62.67          0.44384        119.3          0.86805        -32.08         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
1         0         0         0.03191        27.28863       0.92678        -36.29995      
2         0         3000      0.03183        27.97759       0.92679        -36.30007      
3         621       3000      0.03196        27.97432       0.92679        -36.30023      
4         1242      3000      0.0322         27.75742       0.92679        -36.30047      
5         1863      3000      0.03228        27.46399       0.92678        -36.30048      
6         2484      3000      0.03206        27.11229       0.92678        -36.30009      
7         3105      3000      0.032          26.84712       0.92678        -36.29991      
8         3726      3000      0.03163        26.8157        0.92678        -36.29944      
9         4347      3000      0.03182        27.57314       0.92679        -36.29992      
10        4968      3000      0.03163        27.77444       0.92679        -36.29975      
11        5589      3000      0.03192        27.93836       0.92679        -36.30017      
12        6210      3000      0.0321         27.92646       0.92679        -36.3004       
13        6831      3000      0.03233        27.64006       0.92678        -36.3006       
14        7452      3000      0.03228        27.13736       0.92678        -36.30037      
15        8073      3000      0.03207        27.1012        0.92678        -36.30009      
16        8694      3000      0.03182        26.87999       0.92678        -36.2997       
17        9315      3000      0.03176        27.3539        0.92679        -36.29977      
18        9936      3000      0.03167        27.87074       0.92679        -36.29983      
19        10557     3000      0.03197        28.15568       0.92679        -36.3003       
20        11178     3000      0.03204        28.07746       0.92679        -36.30038      
21        11799     3000      0.03217        27.58767       0.92679        -36.30038      
22        0         6001      0.03253        111.00929      0.9277         -36.28131      
23        621       6001      0.05449        79.4162        0.92768        -36.32537      
24        1242      6001      0.06953        52.74691       0.92714        -36.35854      
25        1863      6001      0.0749         27.49213       0.92636        -36.35756      
26        2484      6001      0.06977        2.14897        0.92583        -36.32148      
27        3105      6001      0.05516        -24.50972      0.92588        -36.27496      
28        3726      6001      0.03353        -56.47631      0.9264         -36.24469      
29        4347      6001      0.01271        -130.3124      0.92709        -36.24318      
30        4968      6001      0.02649        123.93037      0.92763        -36.27007      
31        5589      6001      0.04979        87.48416       0.92776        -36.31392      
32        6210      6001      0.06707        59.92335       0.92734        -36.35321      
33        6831      6001      0.07513        34.24472       0.92656        -36.36272      
34        7452      6001      0.07265        8.75209        0.92591        -36.33365      
35        8073      6001      0.06001        -17.56649      0.9258         -36.28613      
36        8694      6001      0.03952        -47.90484      0.92624        -36.24928      
37        9315      6001      0.01648        -101.8396      0.92693        -36.24033      
38        9936      6001      0.02137        138.14252      0.92754        -36.2613       
39        10557     6001      0.04493        94.94927       0.92778        -36.30308      
40        11178     6001      0.06425        66.33484       0.92749        -36.34638      
41        11799     6001      0.07465        40.28228       0.92675        -36.36488      
42        0         6426      0.07067        138.92439      0.92858        -36.25926      
43        562       6426      0.0921         98.95625       0.92869        -36.33883      
44        1124      6426      0.10973        66.2789        0.92787        -36.4114       
45        1686      6426      0.11861        36.49578       0.92635        -36.43121      
46        2248      6426      0.11664        7.36473        0.92505        -36.37724      
47        2810      6426      0.1046         -23.23943      0.92474        -36.28686      
48        3372      6426      0.08547        -57.75103      0.92539        -36.21393      
49        3934      6426      0.06556        -101.66288     0.92652        -36.18306      
50        4496      6426      0.05751        -159.24908     0.92768        -36.1968       
51        5058      6426      0.06965        145.4519       0.92854        -36.24928      
52        5620      6426      0.09083        103.96522      0.92876        -36.32831      
53        6182      6426      0.10941        70.49772       0.92806        -36.40587      
54        6744      6426      0.1195         40.40976       0.92656        -36.4354       
55        7306      6426      0.11871        11.03395       0.92514        -36.38858      
56        7868      6426      0.10747        -19.52308      0.92469        -36.29762      
57        8430      6426      0.08856        -53.73038      0.92527        -36.21944      
58        8992      6426      0.06816        -96.58542      0.92639        -36.18314      
59        9554      6426      0.05812        -153.00343     0.92758        -36.19264      
60        10116     6426      0.06839        150.51856      0.92849        -36.24206      
61        10678     6426      0.08941        107.75409      0.92879        -36.32005      
62        11240     6426      0.10871        73.74509       0.92818        -36.40042      
63        11802     6426      0.11984        43.24133       0.92672        -36.43725      
64        0         6683      0.11516        146.31133      0.92943        -36.2356       
65        421       6683      0.13073        115.07529      0.92976        -36.32064      
66        842       6683      0.14613        87.24281       0.92935        -36.41567      
67        1263      6683      0.1579         61.69149       0.92805        -36.49159      
68        1684      6683      0.1639         37.23006       0.92611        -36.50859      
69        2105      6683      0.16351        13.17328       0.92437        -36.44924      
70        2526      6683      0.15655        -11.31417      0.92359        -36.34321      
71        2947      6683      0.14462        -37.18562      0.92384        -36.23905      
72        3368      6683      0.12962        -65.28327      0.92478        -36.16635      
73        3789      6683      0.11532        -96.92899      0.92601        -36.13093      
74        4210      6683      0.10561        -132.68089     0.92729        -36.13082      
75        4631      6683      0.10545        -170.77079     0.92845        -36.16145      
76        5052      6683      0.115          153.05544      0.92935        -36.22002      
77        5473      6683      0.13009        120.8705       0.9298         -36.30313      
78        5894      6683      0.14574        92.43554       0.92954        -36.39966      
79        6315      6683      0.15845        66.43619       0.92839        -36.48413      
80        6736      6683      0.16548        41.83052       0.92649        -36.51539      
81        7157      6683      0.16617        17.66885       0.9246         -36.46824      
82        7578      6683      0.15994        -6.9683        0.9236         -36.36382      
83        7999      6683      0.14853        -32.68056      0.9237         -36.25457      
84        8420      6683      0.13353        -60.52423      0.92458        -36.1745       
85        8841      6683      0.11861        -91.75002      0.9258         -36.13269      
86        9262      6683      0.10786        -127.01051     0.9271         -36.1273       
87        9683      6683      0.10611        -164.96839     0.9283         -36.15366      
88        10104     6683      0.1143         158.33963      0.92926        -36.20873      
89        10525     6683      0.12889        125.5275       0.9298         -36.28924      
90        10946     6683      0.14501        96.45629       0.92966        -36.38644      
91        11367     6683      0.15839        70.13822       0.92863        -36.4762       
92        11788     6683      0.16643        45.35754       0.92678        -36.51842      
93        0         6860      0.15882        149.33999      0.9302         -36.21161      
94        347       6860      0.17117        123.46578      0.93068        -36.29862      
95        694       6860      0.18426        99.38544       0.93059        -36.40259      
96        1041      6860      0.19551        76.89659       0.92968        -36.50693      
97        1388      6860      0.20357        55.32724       0.92785        -36.58051      
98        1735      6860      0.20748        34.32368       0.9255         -36.58451      
99        2082      6860      0.20661        13.41482       0.92347        -36.50676      
100       2429      6860      0.20125        -7.7014        0.92249        -36.38204      
101       2776      6860      0.19264        -29.54703      0.9226         -36.25807      
102       3123      6860      0.18114        -52.3269       0.92346        -36.1641       
103       3470      6860      0.16907        -76.68224      0.92468        -36.10546      
104       3817      6860      0.15832        -102.96276     0.92601        -36.07924      
105       4164      6860      0.15093        -130.89413     0.92732        -36.08119      
106       4511      6860      0.14958        -160.02124     0.92854        -36.10705      
107       4858      6860      0.15448        171.22788      0.92959        -36.1556       
108       5205      6860      0.16443        143.8424       0.93039        -36.22679      
109       5552      6860      0.17711        118.38406      0.93079        -36.31932      
110       5899      6860      0.18982        94.60946       0.93054        -36.42723      
111       6246      6860      0.20055        72.28886       0.92942        -36.53067      
112       6593      6860      0.20763        50.85862       0.92739        -36.5937       
113       6940      6860      0.21049        29.8463        0.92497        -36.57935      
114       7287      6860      0.2084         8.79874        0.92309        -36.48457      
115       7634      6860      0.20188        -12.59735      0.92237        -36.35301      
116       7981      6860      0.19217        -34.71122      0.92271        -36.23241      
117       8328      6860      0.1801         -58.05056      0.9237         -36.14523      
118       8675      6860      0.16772        -83.05228      0.92499        -36.09451      
119       9022      6860      0.15767        -109.76056     0.92634        -36.07558      
120       9369      6860      0.15173        -138.24034     0.92765        -36.08376      
121       9716      6860      0.15174        -167.36854     0.92884        -36.11591      
122       10063     6860      0.15826        164.01982      0.92985        -36.17077      
123       10410     6860      0.16925        137.05445      0.93057        -36.24846      
124       10757     6860      0.18237        111.9966       0.93083        -36.34714      
125       11104     6860      0.19488        88.65024       0.93038        -36.45772      
126       11451     6860      0.2049         66.5135        0.92898        -36.55647      
127       11798     6860      0.21072        45.08333       0.92673        -36.60219      
128       0         7001      0.2032         150.82866      0.93092        -36.18702      
129       295       7001      0.21343        128.92903      0.93153        -36.2726       
130       590       7001      0.22436        108.04161      0.9317         -36.3778       
131       885       7001      0.2343         88.11808       0.93121        -36.49547      
132       1180      7001      0.24278        68.95348       0.92982        -36.60681      
133       1475      7001      0.24838        50.32016       0.9275         -36.67567      
134       1770      7001      0.25076        31.90676       0.92474        -36.66444      
135       2065      7001      0.24987        13.52136       0.92245        -36.56725      
136       2360      7001      0.24567        -4.94026       0.92132        -36.4234       
137       2655      7001      0.23877        -23.79944      0.92135        -36.28145      
138       2950      7001      0.23003        -43.29649      0.92215        -36.16891      
139       3245      7001      0.22028        -63.40294      0.92335        -36.09298      
140       3540      7001      0.2106         -84.53523      0.92469        -36.04867      
141       3835      7001      0.20241        -106.62603     0.92604        -36.03058      
142       4130      7001      0.19666        -129.66588     0.92735        -36.03435      
143       4425      7001      0.1946         -153.36188     0.92857        -36.05719      
144       4720      7001      0.1972         -177.04644     0.92969        -36.09758      
145       5015      7001      0.2038         159.85813      0.93065        -36.15612      
146       5310      7001      0.2131         137.55803      0.9314         -36.23476      
147       5605      7001      0.22382        116.28324      0.93178        -36.33385      
148       5900      7001      0.23426        95.96347       0.93159        -36.45018      
149       6195      7001      0.24349        76.4628        0.93057        -36.57028      
150       6490      7001      0.2503         57.64085       0.92856        -36.66345      
151       6785      7001      0.25409        39.06799       0.92579        -36.68818      
152       7080      7001      0.25399        20.68155       0.92315        -36.61941      
153       7375      7001      0.25078        2.14835        0.92151        -36.48321      
154       7670      7001      0.24454        -16.67571      0.92114        -36.33213      
155       7965      7001      0.23609        -35.98989      0.92173        -36.20498      
156       8260      7001      0.22627        -55.98051      0.92285        -36.11464      
157       8555      7001      0.21586        -76.85111      0.92418        -36.05938      
158       8850      7001      0.20691        -98.71046      0.92556        -36.03242      
159       9145      7001      0.20018        -121.52067     0.9269         -36.02889      
160       9440      7001      0.19694        -145.04134     0.92817        -36.04518      
161       9735      7001      0.19779        -168.81555     0.92933        -36.07983      
162       10030     7001      0.20296        167.68794      0.93037        -36.13276      
163       10325     7001      0.21158        145.00187      0.93121        -36.20506      
164       10620     7001      0.22211        123.31186      0.93174        -36.29822      
165       10915     7001      0.23317        102.6171       0.93179        -36.41108      
166       11210     7001      0.24304        82.78261       0.93106        -36.53441      
167       11505     7001      0.25078        63.739         0.92935        -36.64263      
168       11800     7001      0.25538        45.09998       0.92674        -36.69471      
169       0         7121      0.2479         151.53793      0.9316         -36.16227      
170       251       7121      0.25629        132.9903       0.93229        -36.2429       
171       502       7121      0.26509        115.06945      0.93267        -36.34233      
172       753       7121      0.27391        97.68082       0.93259        -36.45999      
173       1004      7121      0.28172        80.80166       0.93179        -36.58785      
174       1255      7121      0.28798        64.44093       0.93007        -36.70434      
175       1506      7121      0.29209        48.22939       0.92738        -36.77424      
176       1757      7121      0.29393        32.22596       0.92426        -36.75947      
177       2008      7121      0.29336        16.25017       0.92163        -36.65453      
178       2259      7121      0.29021        0.15032        0.92018        -36.49617      
179       2510      7121      0.28534        -16.04627      0.91995        -36.33605      
180       2761      7121      0.27873        -32.58286      0.9206         -36.20289      
181       3012      7121      0.2711         -49.51265      0.92172        -36.10564      
182       3263      7121      0.26296        -66.81161      0.92302        -36.04166      
183       3514      7121      0.25537        -84.77479      0.92438        -36.00354      
184       3765      7121      0.24862        -103.25444     0.9257         -35.98675      
185       4016      7121      0.24334        -122.26472     0.92697        -35.98724      
186       4267      7121      0.24029        -141.71081     0.92817        -36.00249      
187       4518      7121      0.2407         -161.41996     0.92931        -36.03088      
188       4769      7121      0.24385        179.09936      0.93035        -36.0728       
189       5020      7121      0.24955        159.87192      0.9313         -36.1296       
190       5271      7121      0.25715        141.12945      0.93209        -36.20302      
191       5522      7121      0.26588        122.94772      0.93264        -36.29515      
192       5773      7121      0.27444        105.31838      0.9328         -36.40688      
193       6024      7121      0.28294        88.27162       0.93237        -36.534        
194       6275      7121      0.28986        71.62829       0.93105        -36.66258      
195       6526      7121      0.29494        55.35564       0.92871        -36.76128      
196       6777      7121      0.29739        39.26056       0.92561        -36.78733      
197       7028      7121      0.29743        23.17951       0.92258        -36.71649      
198       7279      7121      0.29526        7.14109        0.92054        -36.57158      
199       7530      7121      0.29069        -9.11532       0.91982        -36.40277      
200       7781      7121      0.28453        -25.61236      0.92018        -36.25321      
201       8032      7121      0.277          -42.42084      0.92117        -36.13975      
202       8283      7121      0.26879        -59.7154       0.92245        -36.06181      
203       8534      7121      0.26057        -77.51432      0.92381        -36.01378      
204       8785      7121      0.25306        -95.86829      0.92517        -35.98927      
205       9036      7121      0.2472         -114.69858     0.92647        -35.98327      
206       9287      7121      0.24361        -134.02514     0.92771        -35.99263      
207       9538      7121      0.24259        -153.67646     0.92889        -36.0161       
208       9789      7121      0.24431        -173.29874     0.92997        -36.0532       
209       10040     7121      0.24902        167.21655      0.93097        -36.10467      
210       10291     7121      0.25602        148.16638      0.93184        -36.17217      
211       10542     7121      0.26465        129.67088      0.93251        -36.25788      
212       10793     7121      0.2737         111.77112      0.93286        -36.36356      
213       11044     7121      0.28263        94.45626       0.93268        -36.48765      
214       11295     7121      0.29013        77.60386       0.9317         -36.62056      
215       11546     7121      0.29591        61.1816        0.92971        -36.73666      
216       11797     7121      0.29929        44.98358       0.92677        -36.79461      
217       0         7223      0.29247        151.67575      0.93224        -36.13832      
218       222       7223      0.29937        135.46646      0.93298        -36.21478      
219       444       7223      0.30695        119.58067      0.93353        -36.30938      
220       666       7223      0.31478        104.01527      0.93373        -36.42408      
221       888       7223      0.32163        88.81339       0.93338        -36.55666      
222       1110      7223      0.3278         73.92278       0.93222        -36.69723      
223       1332      7223      0.33234        59.3218        0.93001        -36.81972      
224       1554      7223      0.33512        44.82467       0.92681        -36.88368      
225       1776      7223      0.33636        30.44055       0.92327        -36.8519       
226       1998      7223      0.33559        16.02501       0.92038        -36.72318      
227       2220      7223      0.33275        1.62908        0.91884        -36.54323      
228       2442      7223      0.32853        -12.88419      0.9186         -36.3645       
229       2664      7223      0.3231         -27.62269      0.91927        -36.21615      
230       2886      7223      0.31737        -42.5976       0.9204         -36.10566      
231       3108      7223      0.31043        -57.81653      0.92175        -36.03031      
232       3330      7223      0.30375        -73.34089      0.92313        -35.98206      
233       3552      7223      0.29741        -89.26374      0.92448        -35.95484      
234       3774      7223      0.29211        -105.50473     0.92577        -35.94398      
235       3996      7223      0.28795        -122.13172     0.927          -35.94662      
236       4218      7223      0.28557        -138.89145     0.92816        -35.96063      
237       4440      7223      0.28514        -155.97014     0.92928        -35.98556      
238       4662      7223      0.28724        -172.97384     0.93033        -36.02082      
239       4884      7223      0.29117        170.22235      0.93131        -36.06757      
240       5106      7223      0.29686        153.59377      0.93221        -36.1276       
241       5328      7223      0.30382        137.33428      0.93299        -36.20282      
242       5550      7223      0.31148        121.38346      0.93359        -36.29641      
243       5772      7223      0.31878        105.7742       0.93385        -36.41046      
244       5994      7223      0.32593        90.48482       0.93359        -36.54413      
245       6216      7223      0.33197        75.58898       0.93252        -36.68748      
246       6438      7223      0.3369         60.93751       0.93041        -36.81803      
247       6660      7223      0.33992        46.40361       0.92722        -36.89377      
248       6882      7223      0.34097        31.94903       0.92357        -36.87202      
249       7104      7223      0.34002        17.50274       0.92049        -36.74749      
250       7326      7223      0.33726        3.04721        0.91878        -36.56492      
251       7548      7223      0.33299        -11.57386      0.91845        -36.37936      
252       7770      7223      0.32736        -26.35451      0.91909        -36.22515      
253       7992      7223      0.32108        -41.3386       0.92023        -36.11074      
254       8214      7223      0.31433        -56.63939      0.9216         -36.0318       
255       8436      7223      0.30709        -72.23703      0.923          -35.98187      
256       8658      7223      0.30033        -88.20282      0.92438        -35.95366      
257       8880      7223      0.29489        -104.51084     0.92569        -35.94192      
258       9102      7223      0.29071        -121.13753     0.92693        -35.94387      
259       9324      7223      0.28839        -137.96173     0.92811        -35.95729      
260       9546      7223      0.28794        -154.96854     0.92923        -35.98159      
261       9768      7223      0.2897         -172.0143      0.93029        -36.01663      
262       9990      7223      0.29332        170.98921      0.93129        -36.0636       
263       10212     7223      0.29914        154.31472      0.93221        -36.12324      
264       10434     7223      0.30605        137.86804      0.93301        -36.199        
265       10656     7223      0.31387        121.83745      0.93362        -36.29285      
266       10878     7223      0.32163        106.12529      0.93392        -36.40789      
267       11100     7223      0.32904        90.86722       0.93369        -36.54235      
268       11322     7223      0.33511        75.8674        0.93264        -36.6887       
269       11544     7223      0.33981        61.14806       0.9305         -36.8223       
270       11766     7223      0.34282        46.56095       0.92728        -36.90096      
271       0         7314      0.33704        151.60441      0.93284        -36.11437      
272       200       7314      0.34305        137.03085      0.93364        -36.18742      
273       400       7314      0.34959        122.72673      0.9343         -36.27714      
274       600       7314      0.35605        108.59152      0.93471        -36.38733      
275       800       7314      0.36248        94.74164       0.93472        -36.51871      
276       1000      7314      0.36816        81.09756       0.93408        -36.66891      
277       1200      7314      0.37268        67.69447       0.93247        -36.82316      
278       1400      7314      0.37595        54.42879       0.92968        -36.95032      
279       1600      7314      0.37773        41.23456       0.92587        -37.00217      
280       1800      7314      0.37832        28.09607       0.92188        -36.94259      
281       2000      7314      0.37738        14.98603       0.91882        -36.78177      
282       2200      7314      0.37482        1.81413        0.9173         -36.57427      
283       2400      7314      0.37122        -11.45029      0.91718        -36.37612      
284       2600      7314      0.36667        -24.7912       0.91796        -36.21574      
285       2800      7314      0.36149        -38.30484      0.9192         -36.09687      
286       3000      7314      0.35577        -52.01955      0.92061        -36.01408      
287       3200      7314      0.34996        -65.90335      0.92205        -35.9596       
288       3400      7314      0.34455        -79.9951       0.92343        -35.92612      
289       3600      7314      0.33957        -94.41085      0.92476        -35.90865      
290       3800      7314      0.33546        -108.98185     0.926          -35.90384      
291       4000      7314      0.33221        -123.74105     0.92718        -35.90953      
292       4200      7314      0.33017        -138.77267     0.92831        -35.92443      
293       4400      7314      0.33007        -153.85681     0.92938        -35.94749      
294       4600      7314      0.33181        -168.91657     0.93041        -35.97889      
295       4800      7314      0.33484        176.08385      0.9314         -36.01971      
296       5000      7314      0.33954        161.25642      0.93234        -36.07074      
297       5200      7314      0.34501        146.55127      0.93321        -36.13471      
298       5400      7314      0.35123        132.05049      0.93399        -36.21396      
299       5600      7314      0.35766        117.76287      0.93459        -36.31182      
300       5800      7314      0.36419        103.72884      0.93491        -36.43095      
301       6000      7314      0.37048        89.93852       0.93475        -36.57234      
302       6200      7314      0.3753         76.42723       0.9338         -36.72908      
303       6400      7314      0.37936        63.05789       0.93177        -36.88312      
304       6600      7314      0.38198        49.78465       0.92849        -36.99373      
305       6800      7314      0.3831         36.58064       0.92438        -37.00926      
306       7000      7314      0.38276        23.40926       0.9205         -36.90538      
307       7200      7314      0.38094        10.22133       0.91792        -36.71423      
308       7400      7314      0.37807        -3.02912       0.91695        -36.49977      
309       7600      7314      0.37376        -16.39812      0.91726        -36.30975      
310       7800      7314      0.36844        -29.88674      0.9183         -36.1631       
311       8000      7314      0.36278        -43.52713      0.91967        -36.05807      
312       8200      7314      0.3569         -57.33694      0.92113        -35.98685      
313       8400      7314      0.35088        -71.41088      0.92258        -35.94122      
314       8600      7314      0.34529        -85.69568      0.92396        -35.91482      
315       8800      7314      0.34041        -100.1731      0.92526        -35.90306      
316       9000      7314      0.33667        -114.87233     0.92648        -35.90271      
317       9200      7314      0.33406        -129.76898     0.92765        -35.91218      
318       9400      7314      0.33311        -144.79047     0.92876        -35.9302       
319       9600      7314      0.33336        -159.9078      0.92982        -35.95703      
320       9800      7314      0.33553        -175.04697     0.93084        -35.99255      
321       10000     7314      0.33906        169.85644      0.93182        -36.03818      
322       10200     7314      0.34422        154.97248      0.93275        -36.09488      
323       10400     7314      0.35023        140.22987      0.9336         -36.1658       
324       10600     7314      0.35698        125.77745      0.93433        -36.25322      
325       10800     7314      0.36395        111.54634      0.93485        -36.36108      
326       11000     7314      0.37033        97.55146       0.935          -36.49196      
327       11200     7314      0.37616        83.81412       0.93453        -36.6443       
328       11400     7314      0.38073        70.31338       0.93312        -36.80659      
329       11600     7314      0.38421        56.93738       0.93048        -36.9506       
330       11800     7314      0.38619        43.69542       0.92666        -37.02558      
331       0         7396      0.38107        151.25308      0.93341        -36.09151      
332       181       7396      0.38667        138.19208      0.93425        -36.15972      
333       362       7396      0.39234        125.22502      0.93499        -36.2438       
334       543       7396      0.39799        112.42219      0.93557        -36.34672      
335       724       7396      0.4034         99.78367       0.93587        -36.47178      
336       905       7396      0.4086         87.29287       0.9357         -36.62069      
337       1086      7396      0.41295        74.98539       0.93475        -36.78841      
338       1267      7396      0.41634        62.80433       0.93269        -36.95754      
339       1448      7396      0.41862        50.70591       0.9293         -37.08932      
340       1629      7396      0.41973        38.66041       0.92487        -37.12908      
341       1810      7396      0.41976        26.64734       0.92043        -37.04142      
342       1991      7396      0.41867        14.62272       0.91718        -36.84743      
343       2172      7396      0.41616        2.58951        0.91569        -36.61256      
344       2353      7396      0.41303        -9.49399       0.91566        -36.39539      
345       2534      7396      0.40915        -21.65866      0.91655        -36.22141      
346       2715      7396      0.40489        -33.96476      0.91789        -36.09244      
347       2896      7396      0.40023        -46.33692      0.91938        -36.00225      
348       3077      7396      0.39522        -58.85538      0.92087        -35.94142      
349       3258      7396      0.39041        -71.5121       0.92231        -35.9022       
350       3439      7396      0.38573        -84.33977      0.92366        -35.87926      
351       3620      7396      0.3818         -97.29735      0.92493        -35.86841      
352       3801      7396      0.3787         -110.43985     0.92612        -35.86715      
353       3982      7396      0.37621        -123.69879     0.92725        -35.87419      
354       4163      7396      0.37487        -137.04495     0.92832        -35.88822      
355       4344      7396      0.37416        -150.52207     0.92936        -35.90941      
356       4525      7396      0.3756         -164.071       0.93036        -35.93683      
357       4706      7396      0.37792        -177.53481     0.93133        -35.97163      
358       4887      7396      0.38129        169.09883      0.93227        -36.01456      
359       5068      7396      0.3859         155.85352      0.93318        -36.06687      
360       5249      7396      0.3912         142.67203      0.93405        -36.13125      
361       5430      7396      0.3968         129.59247      0.93486        -36.2106       
362       5611      7396      0.40247        116.78792      0.93552        -36.30715      
363       5792      7396      0.40771        104.0749       0.93595        -36.42593      
364       5973      7396      0.41304        91.5214        0.936          -36.56913      
365       6154      7396      0.41748        79.15968       0.93537        -36.7348       
366       6335      7396      0.4212         66.96442       0.93372        -36.91101      
367       6516      7396      0.42392        54.82627       0.93074        -37.06715      
368       6697      7396      0.42545        42.7366        0.92646        -37.14834      
369       6878      7396      0.42546        30.66101       0.92172        -37.10228      
370       7059      7396      0.42438        18.61124       0.91787        -36.93112      
371       7240      7396      0.42215        6.55289        0.91577        -36.69474      
372       7421      7396      0.41886        -5.57538       0.91536        -36.46127      
373       7602      7396      0.41512        -17.76585      0.91606        -36.26875      
374       7783      7396      0.4105         -30.07428      0.91734        -36.12458      
375       7964      7396      0.40575        -42.50038      0.91885        -36.02245      
376       8145      7396      0.40073        -55.03159      0.92038        -35.95321      
377       8326      7396      0.39555        -67.71888      0.92186        -35.9083       
378       8507      7396      0.39088        -80.62746      0.92326        -35.88086      
379       8688      7396      0.38643        -93.57304      0.92457        -35.86729      
380       8869      7396      0.38299        -106.70016     0.92579        -35.86372      
381       9050      7396      0.3799         -119.96526     0.92694        -35.86904      
382       9231      7396      0.37806        -133.27036     0.92803        -35.88139      
383       9412      7396      0.37775        -146.76607     0.92909        -35.90033      
384       9593      7396      0.3781         -160.25288     0.9301         -35.92631      
