The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92708        -36.26         0.0488         62.67          0.44384        119.3          0.86805        -32.08         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
1         0         0         0.03351        163.12191      0.86873        -32.06504      
2         0         2347      0.0338         162.66057      0.86873        -32.06526      
3         310       2347      0.03361        162.22245      0.86873        -32.06568      
4         620       2347      0.03319        162.02848      0.86872        -32.06601      
5         930       2347      0.03322        162.13111      0.86872        -32.06592      
6         1240      2347      0.03303        162.57479      0.86872        -32.06568      
7         1550      2347      0.03317        163.02065      0.86872        -32.06527      
8         1860      2347      0.03315        163.13012      0.86872        -32.0652       
9         2170      2347      0.03319        163.59942      0.86872        -32.06483      
10        2480      2347      0.03332        163.8622       0.86872        -32.06457      
11        2790      2347      0.03344        164.0684       0.86872        -32.06436      
12        3100      2347      0.03375        163.98049      0.86873        -32.06428      
13        3410      2347      0.03384        163.52467      0.86873        -32.06458      
14        3720      2347      0.03395        163.85773      0.86873        -32.06427      
15        4030      2347      0.03412        163.43891      0.86874        -32.06451      
16        4340      2347      0.0341         163.04699      0.86874        -32.06482      
17        4650      2347      0.03406        162.83737      0.86874        -32.065        
18        4960      2347      0.03385        162.52627      0.86873        -32.06533      
19        5270      2347      0.03393        162.47973      0.86874        -32.06534      
20        5580      2347      0.03372        162.3824       0.86873        -32.0655       
21        5890      2347      0.03334        162.26514      0.86873        -32.06577      
22        0         4695      0.06297        130.49444      0.86938        -32.09879      
23        310       4695      0.05504        118.57342      0.86914        -32.11273      
24        620       4695      0.04492        106.09222      0.86883        -32.11967      
25        930       4695      0.03353        92.43896       0.8685         -32.11841      
26        1240      4695      0.02108        76.16441       0.86822        -32.10857      
27        1550      4695      0.00835        44.01063       0.86801        -32.09178      
28        1860      4695      0.00811        -78.51566      0.86793        -32.07185      
29        2170      4695      0.0204         -111.6422      0.86796        -32.05191      
30        2480      4695      0.03282        -127.85868     0.8681         -32.03455      
31        2790      4695      0.04409        -140.91553     0.86832        -32.0221       
32        3100      4695      0.05389        -153.03797     0.86858        -32.01554      
33        3410      4695      0.06156        -165.0346      0.86886        -32.01592      
34        3720      4695      0.06736        -176.56626     0.86912        -32.02211      
35        4030      4695      0.07055        171.66263      0.86934        -32.03453      
36        4340      4695      0.07121        160.15568      0.86947        -32.051        
37        4650      4695      0.06955        148.81772      0.86951        -32.06957      
38        4960      4695      0.06515        137.13171      0.86944        -32.08874      
39        5270      4695      0.05847        125.33603      0.86926        -32.1051       
40        5580      4695      0.04967        113.41142      0.86899        -32.11573      
41        5890      4695      0.03912        101.02942      0.86868        -32.1187       
42        0         5133      0.10732        118.3342       0.87023        -32.13762      
43        281       5133      0.09807        102.43409      0.86977        -32.17026      
44        562       5133      0.08711        85.29512       0.86914        -32.18988      
45        843       5133      0.07521        65.96667       0.86842        -32.19178      
46        1124      5133      0.06393        43.55842       0.86775        -32.17504      
47        1405      5133      0.05523        16.52985       0.86724        -32.14317      
48        1686      5133      0.0513         -14.88818      0.86696        -32.10208      
49        1967      5133      0.05329        -47.01171      0.86693        -32.05915      
50        2248      5133      0.06107        -75.22497      0.86712        -32.02046      
51        2529      5133      0.07188        -98.47264      0.86747        -31.98966      
52        2810      5133      0.08327        -118.04868     0.86793        -31.96904      
53        3091      5133      0.09412        -135.28663     0.86844        -31.95886      
54        3372      5133      0.10316        -151.32256     0.86897        -31.9597       
